Codigo Rude,Genero,Nivel,Curso,Gestion,Promedio,Reprobado,Primer_Anio,Reprobado_siguiente,Reprobaciones_acumuladas,Promedio_ultimos_3,Tendencia_promedio,Variabilidad_promedio,Años_en_sistema,Es_Estudiante_Nuevo,Promedio_global,Mejorando,Delta_promedio,Ratio_reprobacion,Volatilidad_rendimiento,Aceleracion_promedio,Probabilidad_Reprobacion,Nivel_Riesgo
519500012020017,M,Primario,4to A,2024,59,0,2021,,0,59.0,0.0,0.0,1,0,59.0,0.0,0.0,0.0,0.0,0.0,0.13205144041271644,Bajo
519500012020020,M,Primario,4to A,2024,65,0,2021,,0,65.0,0.0,0.0,1,0,65.0,0.0,0.0,0.0,0.0,0.0,0.03865971306673902,Bajo
519500012020021,F,Primario,5to A,2024,70,0,2021,,0,70.0,0.0,0.0,1,0,70.0,0.0,0.0,0.0,0.0,0.0,0.032706656096234486,Bajo
519500012020022,F,Primario,4to A,2024,63,0,2022,,0,63.0,0.0,0.0,1,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0656894949971837,Bajo
519500012020024,F,Primario,3ro A,2024,56,0,2022,,0,56.0,0.0,0.0,1,0,56.0,0.0,0.0,0.0,0.0,0.0,0.41122057488945885,Medio
519500012020175,M,Primario,6to A,2024,78,0,2020,,0,78.0,0.0,0.0,1,0,78.0,0.0,0.0,0.0,0.0,0.0,0.005879112969738693,Bajo
5195000120212019,F,Primario,2do A,2024,77,0,2023,,0,77.0,0.0,0.0,1,0,77.0,0.0,0.0,0.0,0.0,0.0,0.005909959004575042,Bajo
5195000120212817,F,Primario,3ro A,2024,65,0,2022,,0,65.0,0.0,0.0,1,0,65.0,0.0,0.0,0.0,0.0,0.0,0.048327778258644344,Bajo
5195000120213166,F,Primario,3ro A,2024,72,0,2022,,0,72.0,0.0,0.0,1,0,72.0,0.0,0.0,0.0,0.0,0.0,0.0328124844228091,Bajo
5195000120213302,M,Primario,2do A,2024,80,0,2023,,0,80.0,0.0,0.0,1,0,80.0,0.0,0.0,0.0,0.0,0.0,0.005909959004575042,Bajo
5195000120213912,F,Primario,3ro A,2024,83,0,2022,,0,83.0,0.0,0.0,1,0,83.0,0.0,0.0,0.0,0.0,0.0,0.005879112969738693,Bajo
5195000120214278,F,Primario,3ro A,2024,63,0,2022,,0,63.0,0.0,0.0,1,0,63.0,0.0,0.0,0.0,0.0,0.0,0.0656894949971837,Bajo
5195000120214797,M,Primario,2do A,2024,78,0,2023,,0,78.0,0.0,0.0,1,0,78.0,0.0,0.0,0.0,0.0,0.0,0.005909959004575042,Bajo
5195000120214956,M,Primario,2do A,2024,68,0,2024,,0,68.0,0.0,0.0,1,1,68.0,0.0,0.0,0.0,0.0,0.0,0.07085786126336992,Bajo
5195000120215590,M,Primario,3ro A,2024,58,0,2022,,0,58.0,0.0,0.0,1,0,58.0,0.0,0.0,0.0,0.0,0.0,0.22101622865475493,Bajo
5195000120215886,F,Primario,2do A,2024,80,0,2023,,0,80.0,0.0,0.0,1,0,80.0,0.0,0.0,0.0,0.0,0.0,0.005909959004575042,Bajo
5195000120216582,F,Primario,2do A,2024,84,0,2022,,0,84.0,0.0,0.0,1,0,84.0,0.0,0.0,0.0,0.0,0.0,0.005909959004575042,Bajo
5195000120216975,F,Primario,3ro A,2024,54,0,2022,,0,54.0,0.0,0.0,1,0,54.0,0.0,0.0,0.0,0.0,0.0,0.20963312408596713,Bajo
5195000120217295,F,Primario,2do A,2024,78,0,2023,,0,78.0,0.0,0.0,1,0,78.0,0.0,0.0,0.0,0.0,0.0,0.005909959004575042,Bajo
51950001202173A,M,Primario,3ro A,2024,70,0,2022,,0,70.0,0.0,0.0,1,0,70.0,0.0,0.0,0.0,0.0,0.0,0.04094938889588194,Bajo
519500012021843A,F,Primario,2do A,2024,84,0,2023,,0,84.0,0.0,0.0,1,0,84.0,0.0,0.0,0.0,0.0,0.0,0.005909959004575042,Bajo
5195000120219194,M,Primario,4to A,2024,54,0,2021,,0,54.0,0.0,0.0,1,0,54.0,0.0,0.0,0.0,0.0,0.0,0.1625569870604544,Bajo
519500012021924A,F,Primario,2do A,2024,61,0,2023,,0,61.0,0.0,0.0,1,0,61.0,0.0,0.0,0.0,0.0,0.0,0.21433898702732754,Bajo
519500012021961A,M,Primario,2do A,2024,56,0,2021,,0,56.0,0.0,0.0,1,0,56.0,0.0,0.0,0.0,0.0,0.0,0.7949186312515062,Muy Alto
5195000120219843,F,Primario,2do A,2024,65,0,2023,,0,65.0,0.0,0.0,1,0,65.0,0.0,0.0,0.0,0.0,0.0,0.05899194221590181,Bajo
5195000120221398,F,Primario,2do A,2024,86,0,2023,,0,86.0,0.0,0.0,1,0,86.0,0.0,0.0,0.0,0.0,0.0,0.005909959004575042,Bajo
5195000120221505,F,Primario,1ro A,2024,82,0,2024,,0,82.0,0.0,0.0,1,1,82.0,0.0,0.0,0.0,0.0,0.0,0.04374303757708262,Bajo
5195000120221677,F,Primario,1ro A,2024,68,0,2024,,0,68.0,0.0,0.0,1,1,68.0,0.0,0.0,0.0,0.0,0.0,0.06439611131396951,Bajo
5195000120221962,M,Primario,2do A,2024,80,0,2023,,0,80.0,0.0,0.0,1,0,80.0,0.0,0.0,0.0,0.0,0.0,0.005909959004575042,Bajo
5195000120222276,F,Primario,2do A,2024,68,0,2023,,0,68.0,0.0,0.0,1,0,68.0,0.0,0.0,0.0,0.0,0.0,0.06010876034231329,Bajo
5195000120222578,F,Primario,2do A,2024,60,0,2023,,0,60.0,0.0,0.0,1,0,60.0,0.0,0.0,0.0,0.0,0.0,0.1777442559305617,Bajo
5195000120222892,F,Primario,2do A,2024,71,0,2023,,0,71.0,0.0,0.0,1,0,71.0,0.0,0.0,0.0,0.0,0.0,0.05057733945451709,Bajo
